ID,name,href,first_party,second_party,winning_party,winner_index,facts
2084,Carol Anne Bond v. United States,https://api.oyez.org/cases/2010/09-1227,Carol Anne Bond,United States,,,"<p>Carol Anne Bond was found guilty of trying to poison her husband's mistress, Myrlinda Haynes, with toxic chemicals at least 24 times over the course of several months. A grand jury in the Eastern District of Pennsylvania charged Bond with two counts of possessing and using a chemical weapon, in v"
2085,"Russell Bruesewitz, et al. v. Wyeth, Inc., fka Wyeth Laboratories, et al.",https://api.oyez.org/cases/2010/09-152,"Russell Bruesewitz, et al.","Wyeth, Inc., fka Wyeth Laboratories, et al.",,,"<p>Two hours after Hannah Bruesewitz received her six-month diphtheria, tetanus and pertussis vaccine in 1992, she started developing seizures and was hospitalized for weeks. Hannah has continued to suffer from residual seizure disorder that requires her to receive constant care, according to her pa"
2086,Jason Pepper v. United States,https://api.oyez.org/cases/2010/09-6822,Jason Pepper,United States,,,"<p>Jason Pepper pleaded guilty to conspiracy to distribute 500 grams or more of a mixture or substance containing methamphetamine in an Iowa federal district court. In the latest of a long-running series of appeals and remands, a newly assigned Iowa federal district court sentenced Mr. Pepper to 77 "
2087,"Harry F. Connick, District Attorney, et al. v. John Thompson",https://api.oyez.org/cases/2010/09-571,"Harry F. Connick, District Attorney, et al.",John Thompson,,,"<p>John Thompson sued the Orleans Parish District Attorney's Office, the District Attorney, Harry Connick, in his official and individual capacities, and several assistant district attorneys in their official capacities under 42 U.S.C § 1983 in a Louisiana federal district court. Mr. Thompson served"
2088,Alejandra Tapia v. United States,https://api.oyez.org/cases/2010/10-5400,Alejandra Tapia,United States,,,"<p>Alejandra Tapia was convicted of bringing illegal aliens into the United States and of jumping bail after being charged with immigration crimes. Following the jury trial, a judge on the U.S. District Court for the Southern District of California sentenced Tapia to 51 months in prison, noting that"
2089,Schindler Elevator Corporation v. United States ex re. Daniel Kirk,https://api.oyez.org/cases/2010/10-188,Schindler Elevator Corporation,United States ex re. Daniel Kirk,,,"<p>Daniel Kirk served with the U.S. Army in Vietnam from 1969 to 1971. Beginning in 1978, he worked at Millar Elevator Industries, which was later absorbed by Schindler Elevator in 2002. Although he had been promoted within the company on past occasions, in 2003, he was demoted from a managerial pos"
2090,"PLIVA, Inc., et al. v. Gladys Mensing",https://api.oyez.org/cases/2010/09-993,"PLIVA, Inc., et al.",Gladys Mensing,,,"<p>Gladys Mensing took the drug metoclopramide for four years to help fight diabetic gastroparesis. She filed a lawsuit against the generic drug's manufacturers and distributors, contending that the drug gave her a severe neurological movement disorder, tardive dyskinesia, but none of the generic dr"
2091,"Jeff Premo, Superintendent, Oregon State Penitentiary v. Randy Joseph Moore",https://api.oyez.org/cases/2010/09-658,"Jeff Premo, Superintendent, Oregon State Penitentiary",Randy Joseph Moore,,,"<p>Randy Moore pled no-contest to felony murder in an Oregon trial court and sentenced to twenty-five years imprisonment. After exhausting his post-conviction state court remedies, Mr. Moore petitioned for habeas corpus relief in an Oregon federal district court. Mr. Moore argued that his trial coun"
2092,"Arizona Christian School Tuition Organization v. Kathleen M. Winn, et al.",https://api.oyez.org/cases/2010/09-987,Arizona Christian School Tuition Organization,"Kathleen M. Winn, et al.",,,<p>Arizona taxpayers challenged the constitutionality of Arizona's tuition tax credit in an Arizona federal district court. They alleged the tax credit violated the Establishment Clause of the First Amendment because it funneled money to private religious schools. The district court dismissed the ca
2093,"James Walker, Warden, et al. v. Charles W. Martin",https://api.oyez.org/cases/2010/09-996,"James Walker, Warden, et al.",Charles W. Martin,,,"<p>A California state court convicted Charles Martin of robbery and murder and sentenced him to life in prison without the possibility of parole. Subsequently, Mr. Martin filed a round of habeas petitions in state court – all of which were denied. He then raised several new claims in petitions for f"
2094,"David Bobby, Warden v. Harry Mitts",https://api.oyez.org/cases/2010/10-1000,"David Bobby, Warden",Harry Mitts,,,"<p>Harry Mitts drank bourbon until he became intoxicated and then shot and killed an African American man, while speaking racial epithets. During the police shoot-out that followed, Mitts shot and killed one police officer and wounded two others before being apprehended. At trial, Mitts did not cont"
2095,"Goodyear Dunlop Tires Operations, S.A., et al. v. Edgar D. Brown et ux., co-administrators of the Estate of Julian David Brown, et al.",https://api.oyez.org/cases/2010/10-76,"Goodyear Dunlop Tires Operations, S.A., et al.","Edgar D. Brown et ux., co-administrators of the Estate of Julian David Brown, et al.",,,"<p>The families of two North Carolina teenagers killed in a bus crash in France brought suit in North Carolina state court, alleging faulty tires. The tires were made in Turkey, and the plaintiffs sued Goodyear's Luxembourg affiliate and its branches in Turkey and France. A North Carolina appeals co"
2096,"Los Angeles County, CA v. Craig Arthur Humphries et al.",https://api.oyez.org/cases/2010/09-350,"Los Angeles County, CA",Craig Arthur Humphries et al.,,,"<p>Craig and Wendy Humphries were accused of abuse by one of their children, arrested, and their children were taken away from them. They were charged with child abuse and felony torture, but the charges were dismissed once it became clear the allegations were not true. Despite the fact that the cha"
2097,"Delbert Williamson, et al. v. Mazda Motor of America, Inc., et al.",https://api.oyez.org/cases/2010/08-1314,"Delbert Williamson, et al.","Mazda Motor of America, Inc., et al.",,,"<p>Three members of the Williamson family were involved in a head-on collision with another vehicle. Delbert and Alexa wore lap/shoulder seatbelts and survived, while Thanh wore a lap-only seatbelt and died. Subsequently, they sued Mazda Motor of America for strict products liability, negligence, de"
2098,John Ashcroft v. Abdullah al-Kidd,https://api.oyez.org/cases/2010/10-98,John Ashcroft,Abdullah al-Kidd,,,"<p>In 2003, the FBI arrested Abdullah al-Kidd as he was preparing to travel to Saudi Arabia to study Arabic and Islamic law. He was held for 16 days as a material witness in the terrorism trial of Sami Omar al-Hussayen. Al-Kidd has since argued the government classified him as a material witness bec"
2099,Federal Communications Commission v. AT&T Inc.,https://api.oyez.org/cases/2010/09-1279,Federal Communications Commission,AT&T Inc.,,,"<p>CompTel, a trade association that represents some of AT&amp;T's competitors, filed a FOIA request with the Federal Communications Commision in 2005, seeking documents related to an FCC probe into whether AT&amp;T had overcharged the agency for work on a technology education project. AT&amp;T foug"
2100,Kevin Abbott v. United States,https://api.oyez.org/cases/2010/09-479,Kevin Abbott,United States,,,"<p>In these consolidated cases, the defendants engaged in drug trafficking while using a firearm. Both defendants received an additional five-year sentence for using or carrying a firearm in furtherance of a drug trafficking crime pursuant to 18 U.S.C § 924(c)(1)A), even though they received longer "
2101,"Chamber of Commerce of the United States, et al. v. Michael B. Whiting, et al.",https://api.oyez.org/cases/2010/09-115,"Chamber of Commerce of the United States, et al.","Michael B. Whiting, et al.",,,"<p>Various business and civil-rights organizations challenged the enforceability of The Legal Arizona Worker's Act (""LAWA"") in an Arizona federal district court. They argued that federal law preempted LAWA, which requires Arizona employers to use the federal E-Verify employment verification system a"
2102,United States v. Jason Louis Tinklenberg,https://api.oyez.org/cases/2010/09-1498,United States,Jason Louis Tinklenberg,,,"<p>Following a jury trial in the U.S. District Court for the Western District of Michigan, Jason Louis Tinklenberg was convicted of possessing firearms after having been convicted of a felony and possessing materials used to manufacture methamphetamine. He was sentenced to 33 months of imprisonment,"
2103,"CSX Transportation, Inc. v. Alabama Department of Revenue",https://api.oyez.org/cases/2010/09-520,"CSX Transportation, Inc.",Alabama Department of Revenue,,,"<p>CSX Transportation, Inc. (""CSX"") brought suit against the Alabama Department of Revenue in an Alabama federal district court seeking an injunction to prevent the imposition of the state's sales and use tax on diesel fuel. CSX argued that the tax discriminates against railroad companies in violate"
2104,"Ashbel T. Wall, II, Director of Rhode Island Department of Corrections v. Khalil Kholi",https://api.oyez.org/cases/2010/09-868,"Ashbel T. Wall, II, Director of Rhode Island Department of Corrections",Khalil Kholi,,,"<p>In December 1993, a Rhode Island jury convicted Khalil Kholi on 10 counts of first-degree sexual assault. The charges stemmed from the alleged molestation of his two step-daughters. A judge on the state superior court sentenced Kholi to two consecutive terms of life imprisonment, and the state su"
2105,"Erica P. John Fund, Inc., fka Archdiocese of Milwaukee Supporting Fund, Inc. v. Halliburton Co., et al.",https://api.oyez.org/cases/2010/09-1403,"Erica P. John Fund, Inc., fka Archdiocese of Milwaukee Supporting Fund, Inc.","Halliburton Co., et al.",,,"<p>A group of Halliburton Co. shareholders, led by the Erica P. John Fund, filed a lawsuit that contends that from 1999 to 2001, the Houston-based company falsified earnings reports, played down estimated asbestos liability and overstated the benefits of a merger. The U.S. District Court for the Nor"
2106,"Virginia Office for Protection and Advocacy v. James W. Stewart III, Commissioner, Virginia Department of Behavioral Health and Developmental Services, et al.",https://api.oyez.org/cases/2010/09-529,Virginia Office for Protection and Advocacy,"James W. Stewart III, Commissioner, Virginia Department of Behavioral Health and Developmental Services, et al.",,,"<p>The Virginia Office of Protection and Advocacy (""VOPA""), a state agency dedicated to advocating on behalf of persons with disabilities, sued several Virginia state officials in their official capacities in a Virginia federal district court. VOPA alleged that the officials violated two federal sta"
2107,"William H. Sorrell, Attorney General of Vermont, et al. v. IMS Health Inc., et al.",https://api.oyez.org/cases/2010/10-779,"William H. Sorrell, Attorney General of Vermont, et al.","IMS Health Inc., et al.",,,"<p>In 2007, the Vermont legislature passed a law that banned the sale, transmission or use of prescriber-identifiable data (''PI data'') for marketing or promoting a prescription drug without the consent of the prescriber. The law also prohibited the sale, license or exchange for value of PI data fo"
2108,William Freeman v. United States,https://api.oyez.org/cases/2010/09-10245,William Freeman,United States,,,"<p>William Freeman was charged with one count of crack possession, among other charges, and entered a plea agreement that included a sentence of 106 months. After his agreement was accepted by the trial judge and his sentence was entered, the U.S. Sentencing Commission amended the Sentencing Guideli"
2109,General Dynamics Corporation v. United States,https://api.oyez.org/cases/2010/09-1298,General Dynamics Corporation,United States,,,"<p>More than 20 years ago, General Dynamics Corp. and McDonnell Douglas Corp. signed a contract to build eight A- 12 Avenger stealth fighters for the U.S. Navy at a total estimated cost of more than $4 billion. Three years later, the Navy and then-Defense Secretary Dick Cheney declared the company i"
2110,"Kelly Harrington, Warden v. Joshua Richter",https://api.oyez.org/cases/2010/09-587,"Kelly Harrington, Warden",Joshua Richter,,,<p>A California trial court convicted Joshua Richter of burglary and murder. He exhausted his state court remedies and filed for habeas corpus relief in a California federal district court. Mr. Richter argued that he was denied effective assistance of counsel in violation of the Sixth Amendment. The
2111,"CIGNA Corp. and CIGNA Pension Plan v. Janice C. Amara, et al.",https://api.oyez.org/cases/2010/09-804,CIGNA Corp. and CIGNA Pension Plan,"Janice C. Amara, et al.",,,"<p>Under the Employee Retirement Income Security Act (ERISA), plan administrators must provide all plan participants with a ""summary plan description"" (SPD), as well as a ""summary of material modifications"" when material changes are made to the plan. After CIGNA converted its traditional defined ben"
2112,"Madison County, New York v. Oneida Indian Nation of New York",https://api.oyez.org/cases/2010/10-72,"Madison County, New York",Oneida Indian Nation of New York,,,"<p>In 2005, U.S. District Judge David Hurd barred Oneida and Madison counties in New York from foreclosing on Oneida Indian Nation-owned properties on which taxes haven't been paid. The U.S. Court of Appeals for the Second Circuit affirmed, noting that the counties don't have the right to sue an Ind"
2113,J.D.B. v. North Carolina,https://api.oyez.org/cases/2010/09-11121,J.D.B.,North Carolina,,,<p>A North Carolina boy identified as J.D.B. was 13-year-old special education student in 2005 when the police showed up at his school to question him about a string of neighborhood burglaries. The police had learned that the boy was in possession of a digital camera that had been reported stolen.Th
2114,Michelle Ortiz v. Paula Jordan and Rebecca Bright,https://api.oyez.org/cases/2010/09-737,Michelle Ortiz,Paula Jordan and Rebecca Bright,,,"<p>Michelle Ortiz, a former inmate, filed suit against several state and prison officials in an Ohio federal district court for violating her civil rights. While Ms. Ortiz served her sentence, she was sexually abused by a corrections officer on two consecutive nights. Prior to the second incident, M"
2115,"Astra USA v. Santa Clara County, Calif.",https://api.oyez.org/cases/2010/09-1273,Astra USA,"Santa Clara County, Calif.",,,"<p>In 2005, Santa Clara County, Calif., filed a class-action lawsuit based on U.S. Department of Health and Human Services reports, alleging that pharmaceutical companies have systemically overcharged hospitals and clinics, making them pay millions of dollars more than necessary for prescription dru"
2116,"Jason M. Ransom v. FIA Card Services, N.A., fka MBNA America Bank, N.A.",https://api.oyez.org/cases/2010/09-907,Jason M. Ransom,"FIA Card Services, N.A., fka MBNA America Bank, N.A.",,,"<p>Jason Ransom filed for Chapter 13 bankruptcy in Nevada in 2006 and proposed a plan to make $500 monthly payments over a period of 60 months. The chapter 13 trustee and two creditors objected to confirmation of the plan, arguing that $500 per month was not Ransom's projected disposable income as d"
2117,"Doretha H. Henderson, Authorized Representative of David L. Henderson, Deceased v. Eric K. Shinseki, Secretary of Veterans Affairs",https://api.oyez.org/cases/2010/09-1036,"Doretha H. Henderson, Authorized Representative of David L. Henderson, Deceased","Eric K. Shinseki, Secretary of Veterans Affairs",,,"<p>David Henderson filed a claim for monthly compensation with the Department of Veterans Affairs Regional Office based on his need for in-home care. The Regional Office denied the claim. Mr. Henderson appealed to the Board of Veterans' Appeals, which affirmed the Regional Office. He then filed a no"
2118,"Keith Smith, et al. v. Bayer Corp.",https://api.oyez.org/cases/2010/09-1205,"Keith Smith, et al.",Bayer Corp.,,,"<p>Bayer Corp. withdrew the cholesterol-lowering drug, Baycol, from the market in August 2001 because of its alleged role in serious side effects and the deaths of some patients using the drug. Keith Smith and Shirley Sperlazza filed a lawsuit in West Virginia state court in 2001, seeking class cert"
2119,"Chase Bank USA, N.A. v. James A. McCoy, Individually and on Behalf of All Others Similarly Situated",https://api.oyez.org/cases/2010/09-329,"Chase Bank USA, N.A.","James A. McCoy, Individually and on Behalf of All Others Similarly Situated",,,"<p>A class of Chase Bank (""Chase"") credit card holders sued Chase in a California federal district alleging the bank violated the Truth in Lending Act (""TILA""). The investors argued that Chase violated the act when it increased interest rates retroactively after the credit account was closed as a re"
2120,"Microsoft Corporation v. i4i Limited Partnership, et al.",https://api.oyez.org/cases/2010/10-290,Microsoft Corporation,"i4i Limited Partnership, et al.",,,"<p>The owner of a patent for a computer language, i4i Limited Partnership brought suit against Microsoft Corp., alleging that the custom XML editor in certain versions of Microsoft Word, Microsoft's word-processing software, infringed i4i's patent. The jury found Microsoft liable for willful infring"
2121,Marcus Sykes v. United States,https://api.oyez.org/cases/2010/09-11311,Marcus Sykes,United States,,,"<p>Marcus Sykes pleaded guilty to being a felon in possession of a firearm. The U.S. District Court for the Southern District of Indiana enhanced Sykes' sentence under the ACCA after determining that he had previously been found guilty of three violent felonies.</p>
<p>In March 2010, the U.S. Court "
2122,Ruben Flores-Villar v. United States,https://api.oyez.org/cases/2010/09-5801,Ruben Flores-Villar,United States,,,"<p>A California federal district court convicted Ruben Flores-Villar under the Immigration and Nationality Act (""INA"") of being a deported alien found in the United States. On appeal to the U.S. Court of Appeals for the Ninth Circuit, Mr. Flores-Villar argued that the relevant provisions of the INA "
2123,Jose Tolentino v. New York,https://api.oyez.org/cases/2010/09-11556,Jose Tolentino,New York,,,"<p>Jose Tolentino was pulled over for playing his music too loudly. The officer ran a check on Tolentino's DMV files and discovered that not only was his license suspended, but it had also been suspended at least 10 times prior. Tolentino was arrested and charged with first-degree aggravated unlicen"
2124,"Board of Trustees of the Leland Stanford Junior University v. Roche Molecular Systems, Inc., Roche Diagnostics Corp., and Roche Diagnostics Operation Inc.",https://api.oyez.org/cases/2010/09-1159,Board of Trustees of the Leland Stanford Junior University,"Roche Molecular Systems, Inc., Roche Diagnostics Corp., and Roche Diagnostics Operation Inc.",,,<p>The case arose over a licensing dispute between Stanford University and pharmaceutical firm Roche Molecular System over the ownership of patents used in the company's HIV test kits. Stanford School of Medicine professor Mark Holodniy developed the technology behind the kits. As a researcher at th
2125,"National Aeronautics and Space Administration v. Robert M. Nelson, et al.",https://api.oyez.org/cases/2010/09-530,National Aeronautics and Space Administration,"Robert M. Nelson, et al.",,,"<p>A 2004 Bush administration antiterrorism initiative extended background checks required for many government jobs to contract employees, including scientists and engineers at the Jet Propulsion Laboratory, a research facility operated by the California Institute of Technology under a contract with"
2126,Glen Scott Milner v. Department of the Navy,https://api.oyez.org/cases/2010/09-1163,Glen Scott Milner,Department of the Navy,,,"<p>Glen Milner, a member of an organization dedicated to raising community awareness about the dangers of Navy training exercises near Puget Sound, sued the Department of the Navy in a Washington federal district court under the Freedom of Information Act (""FOIA"") to obtain the release of Navy docum"
2127,United States v. Jicarilla Apache Nation,https://api.oyez.org/cases/2010/10-382,United States,Jicarilla Apache Nation,,,"<p>In 2002, the Jicarilla Apache Nation of New Mexico sued the federal government for allegedly mismanaging financial interests and funds, which are held in trust for the tribe's benefit. The tribe is seeking access to attorney-client communications about the trust operation. The Court of Federal Cl"
2128,"Global-Tech Appliances, Inc. v. SEB S.A.",https://api.oyez.org/cases/2010/10-6,"Global-Tech Appliances, Inc.",SEB S.A.,,,"<p>French-based SEB S.A. sells home cooking products in the United States through an indirect subsidiary, T-Fal Corp. SEB owns a patent for a type of deep fryer with an inexpensive plastic outer shell. The improvement of the patent was to separate the shell from the fryer pan to allow for the less e"
2129,"Costco Wholesale Corporation v. Omega, S.A.",https://api.oyez.org/cases/2010/08-1423,Costco Wholesale Corporation,"Omega, S.A.",,,<p>Watchmaker Omega S.A. sued Costco Wholesale Corp. when it bought a shipment of the Swiss-made watches from another importer and sold them for below Omega's suggested retail price. Omega contends that Costco's sale infringes on their copyright of the Omega logo on the back face of the watch. Meanw
2130,Donald Bullcoming v. New Mexico,https://api.oyez.org/cases/2010/09-10876,Donald Bullcoming,New Mexico,,,<p>Donald Bullcoming of New Mexico was sentenced to two years in prison for a felony aggravated DWI/DUI. The State introduced a blood alcohol test (blood draw) that was taken from Bullcoming under a search warrant issued following his refusal of the breath alcohol test. Bullcoming argued that the la
2131,"Bob Camreta v. Sarah Greene, et al.",https://api.oyez.org/cases/2010/09-1454,Bob Camreta,"Sarah Greene, et al.",,,"<p>Sarah Greene filed a lawsuit against Bob Camreta, a caseworker with the Oregon Department of Human Services, and Deputy Sheriff James Alford, contending they interviewed her daughter without a warrant, probable cause or parental consent. The girl's father, Nimrod Greene, was arrested for allegedl"
2132,Frantz DePierre v. United States,https://api.oyez.org/cases/2010/09-1533,Frantz DePierre,United States,,,"<p>In April 2008, a federal court jury found Frantz DePierre guilty of distributing cocaine. He was also found guilty of distributing more than 50 grams of cocaine base, which carries a 10-year minimum sentence. He was sentenced to 10 years in prison, followed by five years of supervised release. In"
2133,"J. McIntyre Machinery, Ltd. v. Robert Nicastro, et al.",https://api.oyez.org/cases/2010/09-1343,"J. McIntyre Machinery, Ltd.","Robert Nicastro, et al.",,,"<p>An accident severed four fingers off the right hand of Robert Nicastro who was operating a recycling machine used to cut metal. A British company manufactured the machine and sold it through its exclusive U.S. distributor. Nicastro sued J. McIntyre Machinery, Ltd., the British company, and its U."
2134,Kentucky v. Hollis Deshaun King,https://api.oyez.org/cases/2010/09-1272,Kentucky,Hollis Deshaun King,,,"<p>Police officers in Lexington, Ky., entered an apartment building in pursuit of a suspect who sold crack cocaine to an undercover informant. The officers lost sight of the suspect and mistakenly assumed he entered an apartment from which they could detect the odor of marijuana. After police knocke"
2135,"Matrixx Initiatives, Inc. v. James Siracusano, et al.",https://api.oyez.org/cases/2010/09-1156,"Matrixx Initiatives, Inc.","James Siracusano, et al.",,,"<p>Investors in Matrixx Inititiatives, Inc. (""Matrixx"") filed suit against the company in an Arizona federal district court for violations of federal securities laws. The investors alleged that Matrixx failed to disclose that one of its products, Zicam nasal spray/gel, caused anosmia (the loss of th"
2136,Clifton Terelle McNeill v. United States,https://api.oyez.org/cases/2010/10-5258,Clifton Terelle McNeill,United States,,,"<p>Clifton Terelle McNeill was sentenced to 300 months imprisonment after he was convicted of unlawful possession of a firearm and 240 months imprisonment for unlawful possession with intent to distribute approximately 3.1 grams of crack cocaine.</p>
<p>The U.S. District Court for the Eastern Distri"
2137,"Ricky D. Fox v. Judy Ann Vice, as executrix of the Estate of Billy Ray Vice, et al.",https://api.oyez.org/cases/2010/10-114,Ricky D. Fox,"Judy Ann Vice, as executrix of the Estate of Billy Ray Vice, et al.",,,"<p>In January 2005, Vinton, Louisiana Police Chief Billy Ray Vice, who was seeking re-election to his post, sent fellow candidate Ricky Fox an ""anonymous"" letter trying to blackmail him into dropping out of the race. A month later, someone accused Fox of uttering a racial slur and, at Vice's instiga"
2138,Montana v. Wyoming and North Dakota,https://api.oyez.org/cases/2010/137-orig,Montana,Wyoming and North Dakota,,,"<p>1950, Montana, Wyoming and North Dakota signed the Yellowstone River Compact, which spelled out how the states would share water. In 2007, Montana sued Wyoming, alleging farmers and other water users along the Powder and Tongue rivers were being harmed by Wyoming's excessive water use. Attorneys "
2139,"Eric L. Thompson v. North American Stainless, LP",https://api.oyez.org/cases/2010/09-291,Eric L. Thompson,"North American Stainless, LP",,,"<p>Eric Thompson and his fiancée-then-wife, Miriam Regalado, worked for North American Stainless, the owner and operator of a stainless steel manufacturing facility in Carroll County, KY. Regalado filed a complaint with the Equal Employment Opportunity Commission (EEOC) in September 2002, alleging t"
2140,United States v. Tohono O'odham Nation,https://api.oyez.org/cases/2010/09-846,United States,Tohono O'odham Nation,,,"<p>In 2006, the Tohono O'odham Nation of Southern Arizona filed a complaint against the United States in the U.S. District Court for the District of Columbia, arguing that the United States government handled $2.1 billion in transactions for the nation between 1972 and 1992 and ""has never fulfilled "
2141,Kevin Kasten v. Saint-Gobain Performance Plastics Corporation,https://api.oyez.org/cases/2010/09-834,Kevin Kasten,Saint-Gobain Performance Plastics Corporation,,,"<p>On December 11, 2006, Saint-Gobain Performance Plastic terminated Kevin Kasten's employment. Mr. Kasten filed suit under the Fair Labor Standards Act (""FLSA"") in a Wisconsin federal district court alleging that he was retaliated against for filing complaints about the legality of the location of "
2142,"American Electric Power Company Inc., et al. v. Connecticut, et al.",https://api.oyez.org/cases/2010/10-174,"American Electric Power Company Inc., et al.","Connecticut, et al.",,,"<p>Eight states, New York City and three land conservation groups filed suit against four electric power companies and the Tennessee Valley Authority, five entities that they claimed were the largest sources of greenhouse gases. The lawsuit alleged that the utility companies, which operate facilitie"
2143,"Wal-Mart Stores, Inc. v. Betty Dukes, et al.",https://api.oyez.org/cases/2010/10-277,"Wal-Mart Stores, Inc.","Betty Dukes, et al.",,,"<p>Betty Dukes, a Wal-Mart ""greeter"" at a Pittsburg, Calif., store, and five other women filed a class action lawsuit in which they alleged that the company's nationwide policies resulted in lower pay for women than men in comparable positions and longer wait for management promotions than men. The "
2144,"Michael D. Turner v. Rebecca L. Rogers, et al.",https://api.oyez.org/cases/2010/10-10,Michael D. Turner,"Rebecca L. Rogers, et al.",,,"<p>In January 2007, Michael Turner appeared in Oconee County, S.C., Family Court because he was behind in his child support obligation. He did not have an attorney, and he was not asked whether he needed or wanted representation. He presented some evidence of his inability to work, but the court mad"
2145,"Talk America, Inc. v. Michigan Bell Telephone Company, dba AT&T Michigan, et al.",https://api.oyez.org/cases/2010/10-313,"Talk America, Inc.","Michigan Bell Telephone Company, dba AT&T Michigan, et al.",,,"<p>Under the Telecommunications Act of 1996, Congress sought to open up the local telephone markets to competition by requiring incumbent local exchange carriers (ILECs) to share their equipment and services with competitive local exchange carriers (CLECs). Under early interpretations of the law, in"
2146,Vincent E. Staub v. Proctor Hospital,https://api.oyez.org/cases/2010/09-400,Vincent E. Staub,Proctor Hospital,,,"<p>As a member of the U.S. Army Reserves, Vincent Staub was required to attend occasional weekend training as well as a two-week training program during the summer. Staub was also a lab technician at Proctor Hospital in Peoria, Ill. He was fired in 2004 and later filed a lawsuit claiming that his su"
2147,"Arizona Free Enterprise Club's Freedom Club PAC, et al. v. Ken Bennett, in His Official Capacity as Arizona Secretary of State, et al.",https://api.oyez.org/cases/2010/10-238,"Arizona Free Enterprise Club's Freedom Club PAC, et al.","Ken Bennett, in His Official Capacity as Arizona Secretary of State, et al.",,,"<p>Arizona enacted a campaign finance law that provides matching funds to candidates who accept public financing. The law, passed in 1998, gives an initial sum to candidates for state office who accept public financing and then provides additional matching funds based on the amounts spent by private"
2148,"Borough of Duryea, Pennsylvania, et al. v. harles J. Guarnieri",https://api.oyez.org/cases/2010/09-1476,"Borough of Duryea, Pennsylvania, et al.",harles J. Guarnieri,,,"<p>In 2005, Duryea police chief Charles Guarnieri filed a discrimination lawsuit against the Pennsylvania borough, alleging that council members retaliated against him because he had successfully challenged a 2003 decision to fire him. Guarnieri had challenged his firing through arbitration and was "
2149,"Edmund Gerald Brown, Governor, et al. v. Entertainment Merchants Association, et al.",https://api.oyez.org/cases/2010/08-1448,"Edmund Gerald Brown, Governor, et al.","Entertainment Merchants Association, et al.",,,"<p>Associations of companies that create, publish, distribute, sell and/or rent video games brought a declaratory judgment action against the state of California in a California federal district court. The plaintiffs brought the claim under the First and Fourteenth Amendments seeking to invalidate a"
2150,"Howard K. Stern, Executor of the Estate of Vickie Lynn Marshall v. Elaine T. Marshall, Executrix of the Estate of E. Pierce Marshall",https://api.oyez.org/cases/2010/10-179,"Howard K. Stern, Executor of the Estate of Vickie Lynn Marshall","Elaine T. Marshall, Executrix of the Estate of E. Pierce Marshall",,,"<p>The saga continues in the long-running inheritance dispute over the estate of a deceased Texas billionare. J. Howard Marshall's will left nearly all his money to his son, E. Pierce Marshall, and nothing to (now deceased wife) Anna Nicole Smith, aka Vickie Lynn Marshall. The younger Marshall died "
2151,"Henry W. Skinner v. Lynn Switzer, District Attorney for the 31st Judicial District of Texas",https://api.oyez.org/cases/2010/09-9000,Henry W. Skinner,"Lynn Switzer, District Attorney for the 31st Judicial District of Texas",,,"<p>A Texas state court convicted Henry Skinner of capital murder and sentenced him to death. Subsequently, Mr. Skinner brought a 42 U.S.C. § 1983 suit against the prosecuting attorney in a Texas federal district court alleging that his Fourteenth Amendment right to due process and Eighth Amendment r"
2152,United States v. Juvenile Male,https://api.oyez.org/cases/2010/09-940,United States,Juvenile Male,,,"<p>At the age of 13, S.E. engaged in non-consensual sexual acts with a 10-year-old child. This activity continued until S.E. was 15 and the victim was 12. S.E. and the victim were residents of the Fort Belknap Reservation in Montana. In 2005, the district court sentenced S.E. to two years of detenti"
2153,"Edmund G. Brown, Jr., Governor of California, et al. v. Marciano Plata, et al.",https://api.oyez.org/cases/2010/09-1233,"Edmund G. Brown, Jr., Governor of California, et al.","Marciano Plata, et al.",,,"<p>The Prison Law Office in Berkeley, Calif., filed a class-action lawsuit in April 2001 on behalf of Marciano Plata and several other prisoners, alleging that California prisons were in violation of the Eighth Amendment to the Constitution, which bans ""cruel and unusual punishment."" Following a len"
2154,Willie Gene Davis v. United States,https://api.oyez.org/cases/2010/09-11328,Willie Gene Davis,United States,,,"<p>Police arrested Willie Gene Davis after a traffic stop. He subsequently gave a false name to the officers. After discovering his real name, the officers arrested him, handcuffed him and put him in the police car for giving false information to a police officer. Then they searched the vehicle and "
2155,Nevada Commission on Ethics v. Michael A. Carrigan,https://api.oyez.org/cases/2010/10-568,Nevada Commission on Ethics,Michael A. Carrigan,,,"<p>Nevada law requires elected officials to disqualify themselves when they are asked to vote on matters that touch on ''commitments in a private capacity.'' In 2006, a member of the Sparks City, Nevada Council, Michael A. Carrigan, disclosed that his campaign manager was a consultant to a business "
2156,"Charles Andrew Fowler, aka Man v. United States",https://api.oyez.org/cases/2010/10-5443,"Charles Andrew Fowler, aka Man",United States,,,"<p>Charles Andrew Fowler shot and killed Christopher Todd Horner for trying to interfere with his plan to rob a bank with four other men. Horner had approached Fowler's accomplices as they sat in a stolen Oldsmobile, decked out in black clothes and gloves. Fowler, who had stepped out of the car to u"
2157,"Harvey Leroy Sossamon, III v. Texas, et al.",https://api.oyez.org/cases/2010/08-1438,"Harvey Leroy Sossamon, III","Texas, et al.",,,"<p>Harvey Sossamon, a Texas inmate, sued the state of Texas and various state officials in their official and individual capacities in a Texas federal district court. In part, he argued that he was denied access to the prison's chapel and religious services in violation of the Religious Land Use and"
